Company,Gründer,Link
Flexopus - Die Desk-Sharing-App,Markus Andreas Merkle,https://www.linkedin.com/in/markusmerkle/
Flexopus - Die Desk-Sharing-App,Dániel Fafula,https://www.linkedin.com/in/fafula/
FlyNex,,https://www.linkedin.com/company/flynex-gmbh/
FlyNex,Andreas Dunsch,https://www.linkedin.com/in/andreas-dunsch-fn/
Frontline GmbH,,https://www.linkedin.com/company/frontline100/
Frontline GmbH,Abdul-Kareem Williams,
Fuxam,,https://www.linkedin.com/company/fuxam/
Fuxam,Julian Schröder,https://www.linkedin.com/in/julian-schr%C3%B6der-b07aa5208/
Fuxam,Leo van den Brandt,https://www.linkedin.com/in/leo-van-den-brandt-4ba46b1a9/
Geospin GmbH,,https://www.linkedin.com/company/geospin/
Geospin GmbH,Wolfgang Sebastian Wagner,https://www.linkedin.com/in/sebastian-wagner-86011047/
GEPROG GmbH,,https://www.linkedin.com/company/geprog-gmbh/
GEPROG GmbH,Ellen Heine,https://www.linkedin.com/in/ellen-heine-22729576/
GEPROG GmbH,Marius Franz Walter Heine,https://www.linkedin.com/in/marius-heine-97b50b210/
GEPROG GmbH,Lino Olaf Liebmann,https://www.linkedin.com/in/lino-liebmann/
gertrud digital GmbH,,https://www.linkedin.com/company/gertrud-digital-gmbh/
gertrud digital GmbH,Sven Rebbert,https://www.linkedin.com/in/sven-rebbert/
gertrud digital GmbH,Nils Langemann,https://www.linkedin.com/in/nils-langemann/
Global Goals Directory,,https://www.linkedin.com/company/global-goals-directory/
Global Goals Directory,Nadim Choucair,https://www.linkedin.com/in/nadimchoucair/
govdigital eG,,https://www.linkedin.com/company/govdigital-eg/
govdigital eG,Torsten Koß,https://www.linkedin.com/in/torsten-koß-a4856027a/
govdigital eG,Rudolf Schleyer,https://www.linkedin.com/in/rudolf-schleyer-🇺🇦-🇮🇱-7b20791b8/
GovMarket,,https://www.linkedin.com/company/govmarket/
GovMarket,Doina Roma,https://www.linkedin.com/in/doina-roman-a1101224a/
GovMarket,Thomas Abrokat,https://www.linkedin.com/in/thomas-abrokat-5188331b5/
GovMind,,https://www.linkedin.com/company/govmindtech/
GovMind,Manuel Kilian,https://www.linkedin.com/in/manuelkilian/
GovRadar,,https://www.linkedin.com/company/govradar/
GovRadar,Sascha Soyk,https://www.linkedin.com/in/saschasoyk/
GovShare,,https://www.linkedin.com/company/govshare/
GovShare,Philipp Schwarz,https://www.linkedin.com/in/philipp-paul-schwarz-9350b618/
GovShare,Franz-Ferdinand Kress,https://www.linkedin.com/in/franz-ferdinand-kress-16563a16/
Graphmasters,,https://www.linkedin.com/company/graphmasters-gmbh/
Graphmasters,Sebastian Heise,https://www.linkedin.com/in/sebastian-heise-9b583521/
Graphmasters,Christian Brüggemann,https://www.linkedin.com/in/christian-br%C3%BCggemann-3592a956/
Green City Solutions,,https://www.linkedin.com/company/greencitysolutions/
Green City Solutions,Victor Splittgerber,https://www.linkedin.com/in/victor-splittgerber/
Green City Solutions,Dénes Honus,https://www.linkedin.com/in/denes-honus/
Green City Solutions,Zhengliang Wu,https://www.linkedin.com/in/zhengliang-wu/
Green City Solutions,Peter Sänger,https://www.linkedin.com/in/peter-s%C3%A4nger/
GREENSPIN GmbH,,https://www.linkedin.com/company/green-spin-gmbh/
GREENSPIN GmbH,Gunther Schorcht,https://www.linkedin.com/in/gunther-schorcht-963a5382/
HEIDI - Heimat Digital®,,https://www.linkedin.com/company/heidi-heimat-digital/
HEIDI - Heimat Digital®,Justus Pohle,https://www.linkedin.com/in/justus-pohle-64aa92213/
HEIDI - Heimat Digital®,Niklas Hansjürgens,https://www.linkedin.com/in/niklas-hansj%C3%BCrgens-51b234228/
